"ID","abstract"
24957823,"There is an urgent need for new antituberculosis (anti-TB) drugs, including agents that are safe and effective with concomitant antiretrovirals (ARV) and first-line TB drugs. PA-824 is a novel antituberculosis nitroimidazole in late-phase clinical development. Cytochrome P450 (CYP) 3A, which can be induced or inhibited by ARV and antituberculosis drugs, is a minor (∼20%) metabolic pathway for PA-824. In a phase I clinical trial, we characterized interactions between PA-824 and efavirenz (arm 1), lopinavir/ritonavir (arm 2), and rifampin (arm 3) in healthy, HIV-uninfected volunteers without TB disease. Participants in arms 1 and 2 were randomized to receive drugs via sequence 1 (PA-824 alone, washout, ARV, and ARV plus PA-824) or sequence 2 (ARV, ARV with PA-824, washout, and PA-824 alone). In arm 3, participants received PA-824 and then rifampin and then both. Pharmacokinetic sampling occurred at the end of each dosing period. Fifty-two individuals participated. Compared to PA-824 alone, plasma PA-824 values (based on geometric mean ratios) for maximum concentration (Cmax), area under the concentration-time curve from 0 to 24 h (AUC0-24), and trough concentration (Cmin) were reduced 28%, 35%, and 46% with efavirenz, 13%, 17%, and 21% with lopinavir-ritonavir (lopinavir/r) and 53%, 66%, and 85% with rifampin, respectively. Medications were well tolerated. In conclusion, lopinavir/r had minimal effect on PA-824 exposures, supporting PA-824 use with lopinavir/r without dose adjustment. PA-824 exposures, though, were reduced more than expected when given with efavirenz or rifampin. The clinical implications of these reductions will depend upon data from current clinical trials defining PA-824 concentration-effect relationships. (This study has been registered at ClinicalTrials.gov under registration no. NCT01571414.).Copyright © 2014, American Society for Microbiology. All Rights Reserved."
23996293,"Hypertension (HTN), a common modifiable cardiovascular risk factor, is more common in patients with rheumatoid arthritis (RA), but the underlying mechanisms are unclear. We examined the hypothesis that mediators of inflammation and markers of cardiovascular risk are associated with HTN in RA.We compared measures of inflammation [serum C-reactive protein (CRP), tumor necrosis factor alpha (TNF-α), interleukin 6 (IL-6), homocysteine, and leptin concentrations] and insulin resistance [homeostasis model assessment index (HOMA)] in RA patients with (n = 90) and without HTN (n = 79). HTN was defined as blood pressure ≥ 140/90 mm Hg or treatment with antihypertensive therapy. The independent association of markers of interest with HTN was examined using multivariable logistic regression.Patients with HTN were significantly older and had longer disease duration than those without HTN (both p < 0.001). Concentrations of homocysteine [11.1 (8.5-13.5) μmol/l vs 9.3 (7.8-11.0) μmol/l] were significantly higher in patients with HTN (p < 0.001). After adjustment for age, sex, race, smoking, body mass index, and corticosteroid and nonsteroidal antiinflammatory drugs (NSAID) use, increased concentrations of homocysteine (OR 2.9, 95% CI: 1.5-5.5, p = 0.001), and leptin (OR 2.0, 95% CI: 1.0-3.8, p = 0.046) were significantly associated with HTN, but the 28-joint Disease Activity Score, IL-6, CRP, TNF-α, and HOMA index were not (all p > 0.05).HTN in patients with RA is not associated with generalized systemic inflammation or insulin resistance, but is associated with increasing concentrations of homocysteine and leptin. The pathogenesis of HTN in RA may involve pathways more regularly associated with fat and vascular homeostasis."
23982695,"This study was a 14-day, outpatient, open-label randomized crossover trial of lyophilized black raspberries (BRBs) in older overweight or obese males to determine whether BRB consumption affects postprandial inflammation associated with consumption of a high-fat high-calorie (HFHC) meal. Ten study participants consumed 45 g/d of lyophilized BRBs for 4 days, followed by a HFHC breakfast plus BRBs on day 6 or consumed the HFHC breakfast on day 6 without previous consumption of BRBs and then crossed over to the other treatment after a 2-day washout period. Blood samples were obtained before and 1, 2, 4, 8, and 12 hours after consumption of the HFHC breakfast. The primary study outcomes were changes in area under the concentration-time curve (AUC) for interleukin-6 (IL-6), C-reactive protein (CRP), and tumor necrosis factor-alpha (TNF-α). The secondary outcomes were safety and tolerability of lyophilized BRB powder. The chronology and values of measured serum concentrations for IL-6, TNF-α, and CRP were consistent with those described previously by other investigators. The AUC of serum IL-6 was lowered significantly (P = 0.03, n = 10) with BRB consumption (34.3 ± 7.6 pg·mL⁻¹·h⁻¹ compared with 42.4 ± 17.9 pg·mL⁻¹·h⁻¹ for consumption of the HFHC meal alone). However, no significant differences (change in AUC) were calculated for serum CRP and TNF-α. The findings of this pilot study suggest that consumption of lyophilized BRBs may attenuate postprandial inflammation in overweight or obese males consuming a HFHC meal. Further investigation of BRBs is warranted to better elucidate their inflammomodulatory potential."
29202452,"Systemic inflammation and muscle wasting are highly prevalent and coexist in patients on maintenance hemodialysis (MHD). We aimed to determine the effects of systemic inflammation on skeletal muscle protein metabolism in MHD patients.Whole body and skeletal muscle protein turnover were assessed by stable isotope kinetic studies. We incorporated expressions of E1, E214K, E3αI, E3αII, MuRF-1, and atrogin-1 in skeletal muscle tissue from integrin β1 gene KO CKD mice models.Among 129 patients with mean (± SD) age 47 ± 12 years, 74% were African American, 73% were male, and 22% had diabetes mellitus. Median high-sensitivity C-reactive protein (hs-CRP) concentration was 13 (interquartile range 0.8, 33) mg/l. There were statistically significant associations between hs-CRP and forearm skeletal muscle protein synthesis, degradation, and net forearm skeletal muscle protein balance (P < 0.001 for all). The associations remained statistically significant after adjustment for clinical and demographic confounders, as well as in sensitivity analysis, excluding patients with diabetes mellitus. In attempting to identify potential mechanisms involved in this correlation, we show increased expressions of E1, E214K, E3αI, E3αII, MuRF-1, and atrogin-1 in skeletal muscle tissue obtained from an animal model of chronic kidney disease.These data suggest that systemic inflammation is a strong and independent determinant of skeletal muscle protein homeostasis in MHD patients, providing rationale for further studies using anticytokine therapies in patients with underlying systemic inflammation.This study was in part supported by NIH grants R01 DK45604 and 1K24 DK62849, the Clinical Translational Science Award UL1-TR000445 from the National Center for Advancing Translational Sciences, the Veterans Administration Merit Award I01 CX000414, the SatelliteHealth Normon Coplon Extramural Grant Program, and the FDA grant 000943."
32923921,"The onset of menopause increases the risk of metabolic syndrome (MetS). Adiponectin is an adipokine associated with insulin sensitivity that is lower in people with MetS. Supplementing diets with linoleic acid (LA)-rich oil increased adiponectin concentrations and improved glucose control in women with type 2 diabetes. The effect of LA on adipokines, especially total and the bioactive form of adiponectin, high-molecular-weight (HMW) adiponectin, in women with MetS is unknown.The aim of this study was to explore the effect of supplementation of the diet with an oil rich in LA on adipokines in women with MetS. The effect of the LA-rich oil (LA-oil) on oxylipins, key metabolites that may influence inflammation and metabolism, was also explored.In this open-label single-arm pilot study, 18 postmenopausal nondiabetic women with MetS enrolled in a 2-phase study were instructed to consume LA-rich vegetable oil (10 mL/d) as part of their habitual diets. Women consumed an oleic acid-rich oil (OA-oil) for 4 wk followed by an LA-oil for 16 wk. Fasting concentrations of adipokines, fatty acids, oxylipins, and markers of glycemia and inflammation were measured.After 4 wk of OA-oil consumption, fasting glucose and total adiponectin concentrations decreased whereas fasting C-reactive protein increased. After 16 wk of LA-oil supplementation total and HMW adiponectin and plasma oxylipins increased. Markers of inflammation and glycemia were unchanged after LA-oil consumption.Supplementation with LA-oil increased total and HMW adiponectin concentrations and altered plasma oxylipin profiles. Larger studies are needed to elucidate the links between these changes and MetS.This trial was registered at clinicaltrials.gov as NCT02063165.Copyright © The Author(s) on behalf of the American Society for Nutrition 2020."
24045678,"The efficacy and safety of low-dose paroxetine 7.5 mg for the treatment of menopausal vasomotor symptoms were evaluated in two multicenter, double-blind, placebo-controlled, phase 3 studies of 12 and 24 weeks' duration.Postmenopausal women were randomly assigned 1:1 to receive paroxetine 7.5 mg or placebo once daily. The four primary efficacy endpoints included mean changes in the frequency and severity of moderate to severe vasomotor symptoms on weeks 4 and 12; an additional endpoint was persistence of treatment benefit on week 24.Five hundred ninety-one participants were randomly assigned to treatment with paroxetine 7.5 mg, and 593 participants were randomly assigned to treatment with placebo. All primary endpoints were met in the 24-week study; three of four primary endpoints were met in the 12-week study. In both studies, paroxetine 7.5 mg significantly reduced the mean weekly vasomotor symptom frequency compared with placebo on week 4 (P < 0.0001 for both studies) and week 12 (P = 0.0090, 12-wk study; P = 0.0001, 24-wk study). Mean weekly reduction in vasomotor symptom severity was significantly greater for paroxetine 7.5 mg than for placebo on week 4 (P = 0.0048) in the 12-week study and on week 4 (P = 0.0452) and week 12 (P = 0.0114) in the 24-week study. Persistence of treatment benefit was demonstrated in the 24-week study. Most treatment-emergent adverse events were mild or moderate in severity. No clinically significant changes in laboratory values or vital signs were noted, and no short-term discontinuation of symptoms followed treatment cessation.Paroxetine 7.5 mg is well-tolerated, is effective in reducing the frequency and severity of menopausal vasomotor symptoms, and demonstrates persistence of treatment benefit through 24 weeks of treatment."
32338619,"The Patient Experience Recommender System for Persuasive Communication Tailoring (PERSPeCT) is a machine learning recommender system with a database of messages to motivate smoking cessation. PERSPeCT uses the collective intelligence of users (ie, preferences and feedback) and demographic and smoking profiles to select motivating messages. PERSPeCT may be more beneficial for tailoring content to minority groups influenced by complex, personally relevant factors.The objective of this study was to describe and evaluate the use of PERSPeCT in African American people who smoke compared with white people who smoke.Using a quasi-experimental design, we compared African American people who smoke with a historical cohort of white people who smoke, who both received up to 30 emailed tailored messages over 65 days. People who smoke rated the daily message in terms of perceived influence on quitting smoking for 30 days. Our primary analysis compared daily message ratings between the two groups using a t test. We used a logistic model to compare 30-day cessation between the two groups and adjusted for covariates.The study included 119 people who smoke (African Americans, 55/119; whites, 64/119). At baseline, African American people who smoke were significantly more likely to report allowing smoking in the home (P=.002); all other characteristics were not significantly different between groups. Daily mean ratings were higher for African American than white people who smoke on 26 of the 30 days (P<.001). Odds of quitting as measured by 30-day cessation were significantly higher for African Americans (odds ratio 2.3, 95% CI 1.04-5.53; P=.03) and did not change after adjusting for allowing smoking at home.Our study highlighted the potential of using a recommender system to personalize for African American people who smoke.ClinicalTrials.gov NCT02200432; https://clinicaltrials.gov/ct2/show/NCT02200432.RR2-10.2196/jmir.6465.©Jamie M Faro, Catherine S Nagawa, Jeroan A Allison, Stephenie C Lemon, Kathleen M Mazor, Thomas K Houston, Rajani S Sadasivam. Originally published in JMIR mHealth and uHealth (http://mhealth.jmir.org), 27.04.2020."
24218241,"Atypical communicative abilities are a core marker of Autism Spectrum Disorders (ASD). A number of studies have shown that, in addition to auditory comprehension differences, individuals with autism frequently show atypical responses to audiovisual speech, suggesting a multisensory contribution to these communicative differences from their typically developing peers. To shed light on possible differences in the maturation of audiovisual speech integration, we tested younger (ages 6-12) and older (ages 13-18) children with and without ASD on a task indexing such multisensory integration. To do this, we used the McGurk effect, in which the pairing of incongruent auditory and visual speech tokens typically results in the perception of a fused percept distinct from the auditory and visual signals, indicative of active integration of the two channels conveying speech information. Whereas little difference was seen in audiovisual speech processing (i.e., reports of McGurk fusion) between the younger ASD and TD groups, there was a significant difference at the older ages. While TD controls exhibited an increased rate of fusion (i.e., integration) with age, children with ASD failed to show this increase. These data suggest arrested development of audiovisual speech integration in ASD. The results are discussed in light of the extant literature and necessary next steps in research."
28848011,"Dabigatran etexilate (DE) is a P-glycoprotein (P-gp) probe substrate, and its active anticoagulant moiety, dabigatran, is a substrate of the multidrug and toxin extrusion protein-1 (MATE-1) transporter. The antiretroviral pharmacokinetic enhancers, ritonavir and cobicistat, inhibit both these transporters. Healthy volunteers received single doses of DE at 150 mg alone, followed by ritonavir at 100 mg or cobicistat at 150 mg daily for 2 weeks. DE was then given 2 h before ritonavir or cobicistat. One week later, DE was given simultaneously with ritonavir or cobicistat. No significant increases in dabigatran pharmacokinetic (PK) exposure or thrombin time (TT) measures were observed with the simultaneous administration of ritonavir. Separated administration of ritonavir resulted in a mean decrease in dabigatran PK exposure of 29% (90% confidence interval [CI], 18 to 40%) but did not significantly change TT measures. However, cobicistat increased dabigatran PK exposure (area under the concentration-versus-time curve from time zero to infinity and maximum plasma concentration) by 127% each (90% CI, 81 to 173% and 59 to 196%, respectively) and increased TT measures (33% for the area-under-the-effect curve from time zero to 24 h [90% CI, 22 to 44%] and 51% for TT at 24 h [90% CI, 22 to 78%]) when given simultaneously with dabigatran. Similar increases were observed when cobicistat was administered separately by 2 h from the administration of dabigatran. In all comparisons, no significant increase in the dabigatran elimination half-life was observed. Therefore, it is likely safe to coadminister ritonavir with DE, while there is a potential need for reduced dosing and prudent clinical monitoring with the coadministration of cobicistat due to the greater net inhibition of intestinal P-gp transport and increased bioavailability. (This study has been registered at ClinicalTrials.gov under identifier NCT01896622.).This is a work of the U.S. Government and is not subject to copyright protection in the United States. Foreign copyrights may apply."
35834198,"Cue-exposure therapy (CET) aims to extinguish conditioned cue reactivity (CR) to aid in smoking cessation. A key disadvantage of extant CET is its limited ability to generalize extinction to the real world. Our team developed a set of augmented reality smoking-related and neutral cues that can appear in real-time in smokers' natural environments as viewed through a smartphone screen. Prior to deployment as a clinical tool, the present study tested the ability of AR smoking cues to extinguish CR in a controlled laboratory study with an AR smartphone application developed for this project. We hypothesized that daily smokers who completed a single session of cue exposure with AR smoking cues (extinction condition) would demonstrate lower cue-provoked urge to smoke at posttest compared to those who viewed AR neutral cues (control condition).Daily smokers (N = 129, 46.5% female, Mage = 47.6, Mcigarettes/day = 19.1) in acute abstinence were randomized to either the extinction or control condition comprising 28 AR trials.As hypothesized, we found a Time × Condition interaction indicating that posttest urge ratings were lower in the extinction condition than in the control condition (p = .034). A secondary hypothesis that participants in the extinction condition would show a longer latency to smoke when provided a cigarette was not supported.These laboratory findings provide evidence supporting the potential clinical efficacy of AR cues for cue-exposure trials, setting the stage for testing in smokers' naturalistic environments. (PsycInfo Database Record (c) 2022 APA, all rights reserved)."
